"Timestamp","Age:","Have you come across the term ""sustainable fashion""?","What do you think it means to wear sustainable clothing?(Choose all that apply)","Do you think that sustainable fashion can help to lessen the carbon footprint in fashion industry and help to reduce environmental and ethical impact on earth?","Considering the comfort, style and quality would you still purchase a sustainably clothing piece even it cost more than what you would normally pay?","How do you get rid of old clothes?","Where do you normally shop your clothes(Choose all that apply)","Would you switch to sustainable fashion from buying in fast fashion brands if you know that it can help the environment even it cost more than the price range of fast fashion brands?","Rate your purchasing practices in clothing in terms of how sustainable it is"
"2021/09/09 7:40:16 PM GMT+8","20 and below","No","Durable;Chemical usage reduction;Labor practices that are fair","Agree","No","Give to family members","Thrift Store;Local Store","Neutral","3"
"2021/09/09 7:56:02 PM GMT+8","21 and above","No","Durable","Agree","Yes","Give to family members","H&M;Bench;Penshoppe","Neutral","4"
"2021/09/09 8:19:08 PM GMT+8","21 and above","Yes","Fabric that has been recycled","Agree","Yes","Give to family members","Local Store","Agree","5"
"2021/09/10 7:04:13 PM GMT+8","21 and above","Yes","Durable;Fabric that has been recycled","Strongly Agree","Yes","Make a charitable donation","Thrift Store;Local Store","Strongly Agree","4"
"2021/09/10 7:04:48 PM GMT+8","21 and above","Yes","Chemical usage reduction","Agree","No","Give to family members","Penshoppe;Local Store","Agree","3"
"2021/09/10 7:09:06 PM GMT+8","21 and above","No","I don't have any idea","Agree","No","Dispose","H&M;Shein","Neutral","3"
"2021/09/10 7:09:46 PM GMT+8","20 and below","Yes","Durable;Chemical usage reduction","Agree","Yes","Sell it online","Bench;Penshoppe;Local Store","Agree","4"
"2021/09/10 7:10:24 PM GMT+8","20 and below","Yes","Fabric that has been recycled;Chemical usage reduction","Strongly Agree","Yes","Give to family members","Bench;Thrift Store;Local Store","Agree","4"
"2021/09/10 7:10:54 PM GMT+8","20 and below","No","I don't have any idea","Neutral","No","Dispose","Shein;Penshoppe;Local Store","Neutral","3"
"2021/09/10 7:11:25 PM GMT+8","20 and below","Yes","Fabric that has been recycled;Chemical usage reduction","Strongly Agree","Yes","Give to family members","Thrift Store;Local Store","Agree","4"
"2021/09/10 7:14:15 PM GMT+8","20 and below","Yes","Durable;Fabric that has been recycled;Chemical usage reduction","Agree","Yes","Dispose","Penshoppe;Thrift Store;Local Store","Agree","4"
"2021/09/10 7:24:16 PM GMT+8","20 and below","No","I don't have any idea","Neutral","No","Give to family members","Thrift Store;Local Store","Agree","5"
"2021/09/10 7:28:23 PM GMT+8","20 and below","No","I don't have any idea","Agree","Yes","Make a charitable donation","H&M;Bench;Penshoppe;Thrift Store;Local Store","Agree","4"
"2021/09/10 7:42:25 PM GMT+8","20 and below","No","Fabric that has been recycled","Strongly Agree","No","Give to family members","Thrift Store;Local Store","Agree","3"
"2021/09/10 8:07:29 PM GMT+8","20 and below","Yes","Durable;Chemical usage reduction","Agree","Yes","Dispose","Penshoppe;Thrift Store;Local Store","Neutral","4"
"2021/09/10 8:08:03 PM GMT+8","21 and above","Yes","Durable;Fabric that has been recycled","Strongly Agree","Yes","Give to family members","Thrift Store;Local Store","Strongly Agree","4"
"2021/09/10 9:19:50 PM GMT+8","20 and below","No","I don't have any idea","Neutral","Yes","Give to family members","H&M;Shein;Thrift Store;Local Store","Agree","5"
"2021/09/11 7:13:15 AM GMT+8","20 and below","Yes","Durable;Fabric that has been recycled;Chemical usage reduction","Agree","No","Make a charitable donation","Penshoppe;Local Store","Agree","3"
"2021/09/11 7:16:42 AM GMT+8","21 and above","Yes","Durable;Fabric that has been recycled","Agree","No","Sell it online","Thrift Store;Local Store","Neutral","4"
"2021/09/11 7:24:29 AM GMT+8","21 and above","No","Durable;Fabric that has been recycled","Strongly Agree","No","Give to family members","H&M;Shein","Neutral","3"
"2021/09/11 7:33:50 AM GMT+8","20 and below","Yes","Durable;Chemical usage reduction","Strongly Agree","Yes","Give to family members","Penshoppe;Thrift Store;Local Store","Agree","4"
"2021/09/11 7:59:54 AM GMT+8","21 and above","Yes","Fabric that has been recycled","Strongly Agree","Yes","Give to family members","Thrift Store;Local Store","Strongly Agree","4"
"2021/09/11 8:12:24 AM GMT+8","20 and below","Yes","Durable;Chemical usage reduction","Strongly Agree","No","Give to family members","H&M;Bench;Local Store","Agree","4"
"2021/09/11 8:19:50 AM GMT+8","20 and below","No","Durable;Fabric that has been recycled","Agree","No","Give to family members","Penshoppe","DIsagree","3"
"2021/09/11 9:36:05 AM GMT+8","20 and below","Yes","Durable;Fabric that has been recycled;Chemical usage reduction","Strongly Agree","Yes","Make a charitable donation","Penshoppe;Thrift Store;Local Store","Agree","4"
"2021/09/11 10:10:49 AM GMT+8","21 and above","Yes","Fabric that has been recycled;Chemical usage reduction","Strongly Agree","Yes","Give to family members","H&M;Penshoppe;Local Store","Neutral","4"
"2021/09/11 10:43:03 AM GMT+8","21 and above","Yes","Fabric that has been recycled;Chemical usage reduction","Strongly Agree","Yes","Give to family members","Thrift Store;Local Store","Agree","4"
"2021/09/11 2:35:47 PM GMT+8","20 and below","Yes","Fabric that has been recycled;Chemical usage reduction","Strongly Agree","No","Make a charitable donation","From other states","Strongly Agree","4"
"2021/09/12 9:49:28 AM GMT+8","21 and above","Yes","Durable;Fabric that has been recycled","Strongly Agree","Yes","Sell it online","H&M;Thrift Store;Local Store","Agree","4"
"2021/09/12 10:34:48 AM GMT+8","20 and below","Yes","Fabric that has been recycled;Chemical usage reduction","Agree","Yes","Make a charitable donation","Shein;Local Store","Agree","4"
"2021/09/12 2:42:59 PM GMT+8","21 and above","Yes","Durable;Chemical usage reduction","Agree","Yes","Make a charitable donation","Thrift Store;Local Store","Agree","4"
"2021/09/12 9:27:03 PM GMT+8","20 and below","Yes","Durable;Labor practices that are fair","Neutral","Yes","Give to family members","Local Store","Agree","4"
"2021/09/12 9:31:11 PM GMT+8","20 and below","Yes","Durable;Fabric that has been recycled;Chemical usage reduction","Agree","Yes","Give to family members","Shein;Penshoppe;Thrift Store;Local Store","Neutral","4"
"2021/09/12 9:31:43 PM GMT+8","21 and above","Yes","Fabric that has been recycled;Chemical usage reduction","Agree","Yes","Give to family members","Uniqlo","Neutral","3"
"2021/09/12 9:38:41 PM GMT+8","20 and below","Yes","Durable;Fabric that has been recycled","Agree","Yes","Give to family members","H&M;Thrift Store;Local Store","Agree","4"
"2021/09/13 12:31:48 PM GMT+8","20 and below","Yes","Durable;Fabric that has been recycled;Chemical usage reduction","Strongly Agree","Yes","Sell it online","Thrift Store;Local Store","Agree","4"
"2021/09/13 12:41:54 PM GMT+8","21 and above","Yes","Durable;Fabric that has been recycled","Agree","No","Sell it online","Shein;Local Store","Neutral","3"
"2021/09/13 12:42:23 PM GMT+8","20 and below","Yes","Fabric that has been recycled;Chemical usage reduction","Strongly Agree","Yes","Give to family members","H&M;Thrift Store;Local Store","Agree","4"
"2021/09/13 7:35:21 PM GMT+8","21 and above","Yes","Fabric that has been recycled;Chemical usage reduction","Strongly Agree","Yes","Sell it online","H&M;Thrift Store;Local Store","Agree","4"
"2021/09/13 7:37:38 PM GMT+8","20 and below","Yes","Durable;Fabric that has been recycled;Chemical usage reduction","Strongly Agree","Yes","Make a charitable donation","Shein;Thrift Store;Local Store","Neutral","4"
"2021/09/13 9:04:32 PM GMT+8","20 and below","Yes","Durable;Chemical usage reduction;Labor practices that are fair","Agree","Yes","Sell it online","H&M;Thrift Store;Local Store","Agree","4"
"2021/09/13 9:07:41 PM GMT+8","20 and below","Yes","Fabric that has been recycled;Chemical usage reduction","Strongly Agree","Yes","Sell it online","Penshoppe;Local Store","Neutral","4"
"2021/09/14 12:30:09 AM GMT+8","21 and above","Yes","Chemical usage reduction;Labor practices that are fair","Agree","Yes","Give to family members","H&M;Penshoppe;Local Store","Neutral","4"
"2021/09/14 8:55:50 AM GMT+8","21 and above","Yes","Durable;Fabric that has been recycled;Chemical usage reduction","Agree","Yes","Give to family members","H&M;Thrift Store;Local Store","Neutral","4"
"2021/09/14 10:20:45 AM GMT+8","21 and above","Yes","Chemical usage reduction;Labor practices that are fair","Agree","Yes","Give to family members","Bench;Local Store","Neutral","4"
"2021/09/14 3:03:19 PM GMT+8","21 and above","Yes","Durable;Chemical usage reduction;Labor practices that are fair","Agree","Yes","Make a charitable donation","Shein;Thrift Store;Local Store","Agree","4"
"2021/09/14 4:33:06 PM GMT+8","21 and above","Yes","Durable;Chemical usage reduction;Labor practices that are fair","Agree","Yes","Sell it online","H&M;Penshoppe;Thrift Store;Local Store","Agree","4"
"2021/09/15 7:52:50 AM GMT+8","21 and above","Yes","Durable;Fabric that has been recycled;Chemical usage reduction","Strongly Agree","Yes","Sell it online","Thrift Store;Local Store","Agree","4"
